Date,Ticker,Signal,Close,Allocation_%,Shares,Position_Value,Entry_Price,Daily_PnL,Cumulative_PnL,Daily_Return_%
2026-01-14,BRK-B,LONG,415.32,10.0,24,9967.68,415.32,0.0,0.0,0.0
2026-01-14,INTC,AVOID,28.45,-5.0,175,4978.75,28.45,0.0,0.0,0.0
2026-01-14,XOM,LONG,118.92,10.0,84,9989.28,118.92,0.0,0.0,0.0
2026-01-14,CVX,HOLD,145.67,0.0,0,0.0,145.67,0.0,0.0,0.0
2026-01-14,AA,LONG,32.18,10.0,310,9975.8,32.18,0.0,0.0,0.0
2026-01-14,F,HOLD,9.34,0.0,0,0.0,9.34,0.0,0.0,0.0
2026-01-14,GM,AVOID,43.21,-5.0,115,4969.15,43.21,0.0,0.0,0.0
2026-01-14,WFC,SHORT,78.94,-5.0,63,4973.22,78.94,0.0,0.0,0.0
2026-01-14,VLO,LONG,142.55,10.0,70,9978.5,142.55,0.0,0.0,0.0
2026-01-14,BAC,HOLD,34.67,0.0,0,0.0,34.67,0.0,0.0,0.0
