Date,Ticker,Close,Signal,RSI_14,Perf_5D,Distance_to_52W_Low,Trend,Rationale,52W_Low,52W_High
2026-01-14,BRK-B,415.32,LONG,62.5,1.50%,9.3%,BULLISH,VALUE (✓ 9.3% from 52W low) | TREND (BULLISH),380.0,445.0
2026-01-14,INTC,28.45,AVOID,78.2,3.80%,53.8%,BEARISH,OVERBOUGHT (RSI: 78.2),18.5,32.0
2026-01-14,XOM,118.92,LONG,68.1,2.20%,39.9%,MIXED,MOMENTUM (5-day: 2.20%) | TREND (MIXED),85.0,125.0
2026-01-14,CVX,145.67,HOLD,55.3,-0.80%,32.4%,MIXED,NO SIGNAL (MIXED),110.0,160.0
2026-01-14,AA,32.18,LONG,71.9,4.50%,57.0%,BULLISH,MOMENTUM (5-day: 4.50%) | TREND (BULLISH),20.5,38.0
2026-01-14,F,9.34,HOLD,48.2,-1.20%,19.7%,BULLISH,NO SIGNAL (BULLISH),7.8,12.5
2026-01-14,GM,43.21,AVOID,82.7,6.10%,54.3%,BULLISH,OVERBOUGHT (RSI: 82.7),28.0,48.0
2026-01-14,WFC,78.94,SHORT,59.4,1.80%,21.4%,BEARISH,BEARISH TREND,65.0,92.0
2026-01-14,VLO,142.55,LONG,73.2,3.50%,54.9%,MIXED,MOMENTUM (5-day: 3.50%) | TREND (MIXED),92.0,155.0
2026-01-14,BAC,34.67,HOLD,61.8,1.20%,23.8%,MIXED,NO SIGNAL (MIXED),28.0,40.0
